id,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure
239085,88,43,96,74,90,87
231866,85,84,76,84,62,94
231747,64,38,93,83,84,88
252371,85,82,91,90,74,87
238794,58,26,87,85,71,83
202126,80,42,94,86,93,92
192985,75,66,88,95,83,88
231478,87,48,92,79,74,88
230621,30,26,14,60,24,65
222665,64,69,84,91,68,87
212831,27,11,13,66,23,66
209331,63,55,92,85,81,88
203376,85,88,47,67,62,90
192448,43,22,11,70,25,70
192119,23,15,13,44,27,66
256630,63,44,83,91,64,85
239818,88,87,39,64,45,86
239053,81,83,86,86,59,84
237692,64,59,85,86,64,86
235073,24,14,10,59,12,66
218667,78,73,85,87,64,89
210257,38,27,20,70,65,70
205452,92,85,54,61,40,80
200389,36,24,11,67,11,68
194765,74,59,90,88,79,89
188545,81,49,90,81,90,87
158023,44,40,89,90,75,94
256790,59,65,86,84,59,83
246669,68,62,82,86,87,82
243715,83,86,43,62,47,85
237383,83,88,39,72,50,85
234378,85,86,71,79,71,86
232656,86,80,80,75,75,80
232293,68,34,92,70,75,80
228702,74,82,77,88,53,90
224232,87,84,83,84,73,86
215698,35,25,15,65,15,68
212198,84,63,87,94,90,79
211110,48,42,83,88,88,87
207865,81,89,70,76,52,86
202811,37,21,12,67,43,69
